title,url,url_path
"Is It a Cold, the Flu, an RSV Infection, or COVID-19?",https://kidshealth.org/en/parents/flu-vs-cold.html,/en/parents/flu-vs-cold.html
All About the Flu (Influenza),https://kidshealth.org/en/parents/flu.html,/en/parents/flu.html
Fluoride,https://kidshealth.org/en/parents/fluoride-water.html,/en/parents/fluoride-water.html
Focal Aware Seizures,https://kidshealth.org/en/parents/focal-aware-seizures.html,/en/parents/focal-aware-seizures.html
Focal Impaired Awareness Seizures,https://kidshealth.org/en/parents/focal-impaired-aware-seizures.html,/en/parents/focal-impaired-aware-seizures.html
The Fontan Procedure,https://kidshealth.org/en/parents/fontan.html,/en/parents/fontan.html
Food Poisoning,https://kidshealth.org/en/parents/food-poisoning.html,/en/parents/food-poisoning.html
Assistive Devices: Forearm Crutches,https://kidshealth.org/en/parents/forearm-crutches.html,/en/parents/forearm-crutches.html
Functional Abdominal Pain,https://kidshealth.org/en/parents/functional-abdominal-pain.html,/en/parents/functional-abdominal-pain.html
Ringworm,https://kidshealth.org/en/parents/fungal-ringworm.html,/en/parents/fungal-ringworm.html
G6PD Deficiency,https://kidshealth.org/en/parents/g6pd.html,/en/parents/g6pd.html
Assistive Devices: Gait Trainers,https://kidshealth.org/en/parents/gait-trainer.html,/en/parents/gait-trainer.html
Galactosemia,https://kidshealth.org/en/parents/galactosemia.html,/en/parents/galactosemia.html
Gastroenteritis (Stomach Flu) in Children,https://kidshealth.org/en/parents/gastroenteritis.html,/en/parents/gastroenteritis.html
Gene Changes (Mutations),https://kidshealth.org/en/parents/gene-mutations.html,/en/parents/gene-mutations.html
Genetic Conditions,https://kidshealth.org/en/parents/genetic-passed-down.html,/en/parents/genetic-passed-down.html
Genital Warts (HPV),https://kidshealth.org/en/parents/genital-warts.html,/en/parents/genital-warts.html
Germ Cell Tumors,https://kidshealth.org/en/parents/germ-cell.html,/en/parents/germ-cell.html
Rubella (German Measles),https://kidshealth.org/en/parents/german-measles.html,/en/parents/german-measles.html
"Germs: Bacteria, Viruses, Fungi, and Protozoa",https://kidshealth.org/en/parents/germs.html,/en/parents/germs.html
Getting a Urine Test,https://kidshealth.org/en/parents/get-urine-test.html,/en/parents/get-urine-test.html
Growth Hormone Deficiency,https://kidshealth.org/en/parents/gh-deficiency.html,/en/parents/gh-deficiency.html
Giardiasis,https://kidshealth.org/en/parents/giardiasis.html,/en/parents/giardiasis.html
Glaucoma,https://kidshealth.org/en/parents/glaucoma.html,/en/parents/glaucoma.html
The Glenn Procedure,https://kidshealth.org/en/parents/glenn.html,/en/parents/glenn.html
Gliomas,https://kidshealth.org/en/parents/gliomas.html,/en/parents/gliomas.html
Goiters and Thyroid Nodules,https://kidshealth.org/en/parents/goiter.html,/en/parents/goiter.html
Group A Strep Infections,https://kidshealth.org/en/parents/group-a-strep.html,/en/parents/group-a-strep.html
Group B Strep and Pregnancy,https://kidshealth.org/en/parents/groupb.html,/en/parents/groupb.html
Growing Pains,https://kidshealth.org/en/parents/growing-pains.html,/en/parents/growing-pains.html
Growth and Your 13- to 18-Year-Old,https://kidshealth.org/en/parents/growth-13-to-18.html,/en/parents/growth-13-to-18.html
Growth Between 4 & 5 Years Old,https://kidshealth.org/en/parents/growth-4-to-5.html,/en/parents/growth-4-to-5.html
Normal Growth for 6- to 12-Year-Olds,https://kidshealth.org/en/parents/growth-6-12.html,/en/parents/growth-6-12.html
Helicobacter pylori Infections,https://kidshealth.org/en/parents/h-pylori.html,/en/parents/h-pylori.html
Hair,https://kidshealth.org/en/parents/hair.html,/en/parents/hair.html
Hemobglobin SC Disease,https://kidshealth.org/en/parents/hbsc-disease.html,/en/parents/hbsc-disease.html
Head Lice: First Aid,https://kidshealth.org/en/parents/head-lice-sheet.html,/en/parents/head-lice-sheet.html
Head Lice,https://kidshealth.org/en/parents/head-lice.html,/en/parents/head-lice.html
Hearing Aids,https://kidshealth.org/en/parents/hearing-aids.html,/en/parents/hearing-aids.html
Hearing Loss Factsheet (for Schools),https://kidshealth.org/en/parents/hearing-factsheet.html,/en/parents/hearing-factsheet.html
Heart & Blood Vessels Glossary,https://kidshealth.org/en/parents/heart-glossary.html,/en/parents/heart-glossary.html
Heat Rash (Miliaria),https://kidshealth.org/en/parents/heat-rash.html,/en/parents/heat-rash.html
Hemangiomas: Suzanne's Story,https://kidshealth.org/en/parents/hemangiomas-story.html,/en/parents/hemangiomas-story.html
Hemophilia,https://kidshealth.org/en/parents/hemophilia.html,/en/parents/hemophilia.html
Hepatitis A Vaccine (HepA) for Kids,https://kidshealth.org/en/parents/hepa-vaccine.html,/en/parents/hepa-vaccine.html
Hepatitis A,https://kidshealth.org/en/parents/hepatitis-a.html,/en/parents/hepatitis-a.html
Hepatitis B (Hep B) Virus,https://kidshealth.org/en/parents/hepatitis-b.html,/en/parents/hepatitis-b.html
Hepatitis C,https://kidshealth.org/en/parents/hepatitis-c.html,/en/parents/hepatitis-c.html
Hepatitis,https://kidshealth.org/en/parents/hepatitis.html,/en/parents/hepatitis.html
Hepatoblastoma,https://kidshealth.org/en/parents/hepatoblastoma.html,/en/parents/hepatoblastoma.html
Hepatocellular Carcinoma (HCC),https://kidshealth.org/en/parents/hepatocellular-carcinoma.html,/en/parents/hepatocellular-carcinoma.html
Hepatitis B (HepB) Vaccine,https://kidshealth.org/en/parents/hepb-vaccine.html,/en/parents/hepb-vaccine.html
What Is Herd Immunity?,https://kidshealth.org/en/parents/herd-immunity.html,/en/parents/herd-immunity.html
Hereditary Spherocytosis,https://kidshealth.org/en/parents/hereditary-spherocytosis.html,/en/parents/hereditary-spherocytosis.html
Genital Herpes,https://kidshealth.org/en/parents/herpes.html,/en/parents/herpes.html
"Hand, Foot, and Mouth Disease",https://kidshealth.org/en/parents/hfm.html,/en/parents/hfm.html
Hereditary Hemochromatosis,https://kidshealth.org/en/parents/hh.html,/en/parents/hh.html
Hib Vaccine for Kids,https://kidshealth.org/en/parents/hib-vaccine.html,/en/parents/hib-vaccine.html
Hib Disease (Haemophilus Influenzae Type b),https://kidshealth.org/en/parents/hib.html,/en/parents/hib.html
Hirschsprung Disease,https://kidshealth.org/en/parents/hirschsprung.html,/en/parents/hirschsprung.html
HIV and AIDS,https://kidshealth.org/en/parents/hiv.html,/en/parents/hiv.html
Hives (Urticaria),https://kidshealth.org/en/parents/hives.html,/en/parents/hives.html
Hoarseness,https://kidshealth.org/en/parents/hoarseness.html,/en/parents/hoarseness.html
Hodgkin Lymphoma,https://kidshealth.org/en/parents/hodgkin.html,/en/parents/hodgkin.html
Your Child's Vaccines: Human Papillomavirus (HPV) Vaccine,https://kidshealth.org/en/parents/hpv-vaccine.html,/en/parents/hpv-vaccine.html
Hydrocele,https://kidshealth.org/en/parents/hydrocele.html,/en/parents/hydrocele.html
